dataset_num,motif_discovery=0|motif_occupancy=1,dataset_name,roc_auc,prc_auc,time(sec),batch size,steps
98,1,wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,0.779648606,0.778323669,145.922313,2048,600
99,0,wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk,0.925181612,0.89911541,122.3725739,2048,600
99,1,wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk,0.834415479,0.820516445,124.5857279,2048,600
100,0,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk,0.883650962,0.87281139,130.2332799,2048,600
100,1,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk,0.761147174,0.763509265,133.4067452,2048,600
101,0,wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.869353208,0.863852085,127.6737342,2048,600
101,1,wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.814857541,0.802840554,129.5843461,2048,600
102,0,wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.858062626,0.828795891,126.764184,2048,600
102,1,wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.82449881,0.81167865,128.7796559,2048,600
103,0,wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk,0.825210122,0.822241888,133.8930969,2048,600
103,1,wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk,0.726508786,0.750913229,150.3790271,2048,600
104,1,wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,0.711619563,0.717835828,139.4032469,2048,600
105,0,wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.859760896,0.857098019,131.1114008,2048,600
105,1,wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.857595085,0.859655544,148.9231799,2048,600
106,0,wgEncodeAwgTfbsSydhK562Znf274m01UcdUniPk,0.717885361,0.695323139,131.9183722,2048,600
106,0,wgEncodeAwgTfbsSydhK562Znf274m01UcdUniPk,0.722987754,0.691595887,561.3862331,256,4800
107,0,wgEncodeAwgTfbsSydhK562Znf274UcdUniPk,0.832832833,0.875508688,557.62521,256,4800
